id,molecule_name,atom_index_0,atom_index_1,type,scalar_coupling_constant
19590,dsgdb9nsd_001013,9,4,3JHN,-0.716888
19591,dsgdb9nsd_001013,9,5,2JHC,4.25973
19592,dsgdb9nsd_001013,9,6,1JHN,59.979
23402,dsgdb9nsd_001160,7,0,1JHC,88.3784
23403,dsgdb9nsd_001160,7,1,2JHC,-3.9548099999999997
23404,dsgdb9nsd_001160,7,3,3JHC,8.67116
23405,dsgdb9nsd_001160,7,5,3JHC,2.8335
23406,dsgdb9nsd_001160,7,8,2JHH,-11.4237
23407,dsgdb9nsd_001160,7,9,2JHH,-10.7847
23408,dsgdb9nsd_001160,8,0,1JHC,85.0904
23409,dsgdb9nsd_001160,8,1,2JHC,1.89398
23410,dsgdb9nsd_001160,8,3,3JHC,1.27478
23411,dsgdb9nsd_001160,8,5,3JHC,1.27396
23412,dsgdb9nsd_001160,8,9,2JHH,-11.4247
23413,dsgdb9nsd_001160,9,0,1JHC,88.3784
23414,dsgdb9nsd_001160,9,1,2JHC,-3.9552300000000002
23415,dsgdb9nsd_001160,9,3,3JHC,2.83208
23416,dsgdb9nsd_001160,9,5,3JHC,8.67105
23417,dsgdb9nsd_001160,10,0,3JHC,6.6539399999999995
23418,dsgdb9nsd_001160,10,1,2JHC,-1.76394
23419,dsgdb9nsd_001160,10,3,3JHC,0.7464890000000001
23420,dsgdb9nsd_001160,10,5,3JHC,0.7533850000000001
25102,dsgdb9nsd_001225,7,0,1JHC,89.2191
25103,dsgdb9nsd_001225,7,1,2JHC,-3.5549199999999996
25104,dsgdb9nsd_001225,7,8,2JHH,-11.0332
25105,dsgdb9nsd_001225,7,9,2JHH,-10.3033
25106,dsgdb9nsd_001225,8,0,1JHC,84.9505
25107,dsgdb9nsd_001225,8,1,2JHC,-5.97783
25108,dsgdb9nsd_001225,8,9,2JHH,-16.2899
25109,dsgdb9nsd_001225,9,0,1JHC,85.3453
25110,dsgdb9nsd_001225,9,1,2JHC,-5.8429
25111,dsgdb9nsd_001225,10,1,3JHC,3.2574799999999997
25112,dsgdb9nsd_001225,10,4,1JHC,89.1024
25113,dsgdb9nsd_001225,10,5,2JHC,-4.1085
25114,dsgdb9nsd_001225,10,11,2JHH,-15.5935
25115,dsgdb9nsd_001225,10,12,3JHH,2.58351
25116,dsgdb9nsd_001225,11,1,3JHC,5.57504
25117,dsgdb9nsd_001225,11,4,1JHC,102.71
25118,dsgdb9nsd_001225,11,5,2JHC,-3.76664
25119,dsgdb9nsd_001225,11,12,3JHH,-0.3416
25120,dsgdb9nsd_001225,12,4,2JHC,24.105
25121,dsgdb9nsd_001225,12,5,1JHC,119.439
28200,dsgdb9nsd_001334,7,0,1JHC,86.0065
28201,dsgdb9nsd_001334,7,1,2JHC,-4.4008199999999995
28202,dsgdb9nsd_001334,7,2,3JHC,7.335210000000001
28203,dsgdb9nsd_001334,7,3,3JHN,0.909063
28204,dsgdb9nsd_001334,7,4,3JHC,0.98367
28205,dsgdb9nsd_001334,7,8,2JHH,-12.1612
28206,dsgdb9nsd_001334,7,9,2JHH,-11.2073
28207,dsgdb9nsd_001334,8,0,1JHC,83.7761
28208,dsgdb9nsd_001334,8,1,2JHC,-3.53645
28209,dsgdb9nsd_001334,8,2,3JHC,2.71653
28210,dsgdb9nsd_001334,8,3,3JHN,-0.073466
28211,dsgdb9nsd_001334,8,4,3JHC,6.65561
28212,dsgdb9nsd_001334,8,9,2JHH,-11.888
28213,dsgdb9nsd_001334,9,0,1JHC,80.6828
28214,dsgdb9nsd_001334,9,1,2JHC,-0.677701
28215,dsgdb9nsd_001334,9,2,3JHC,0.609197
28216,dsgdb9nsd_001334,9,3,3JHN,3.60305
28217,dsgdb9nsd_001334,9,4,3JHC,0.798793
28218,dsgdb9nsd_001334,10,0,3JHC,1.784
28219,dsgdb9nsd_001334,10,1,2JHC,-3.08595
28220,dsgdb9nsd_001334,10,2,1JHC,83.6333
28221,dsgdb9nsd_001334,10,3,3JHN,0.09107799999999999
28222,dsgdb9nsd_001334,10,4,3JHC,7.3058
28223,dsgdb9nsd_001334,10,11,2JHH,-10.8881
28224,dsgdb9nsd_001334,10,12,2JHH,-12.4366
28225,dsgdb9nsd_001334,11,0,3JHC,6.634580000000001
28226,dsgdb9nsd_001334,11,1,2JHC,-3.6255300000000004
28227,dsgdb9nsd_001334,11,2,1JHC,83.6309
28228,dsgdb9nsd_001334,11,3,3JHN,0.103801
28229,dsgdb9nsd_001334,11,4,3JHC,3.38026
28230,dsgdb9nsd_001334,11,12,2JHH,-12.0749
28231,dsgdb9nsd_001334,12,0,3JHC,1.1059700000000001
28232,dsgdb9nsd_001334,12,1,2JHC,-1.05511
28233,dsgdb9nsd_001334,12,2,1JHC,82.4483
28234,dsgdb9nsd_001334,12,3,3JHN,0.276183
28235,dsgdb9nsd_001334,12,4,3JHC,0.301037
28236,dsgdb9nsd_001334,13,0,3JHC,4.17405
28237,dsgdb9nsd_001334,13,1,2JHC,0.45911499999999994
28238,dsgdb9nsd_001334,13,2,3JHC,5.637569999999999
28239,dsgdb9nsd_001334,13,3,1JHN,33.8861
28240,dsgdb9nsd_001334,13,4,2JHC,0.10563499999999999
28241,dsgdb9nsd_001334,13,5,3JHC,3.24856
28242,dsgdb9nsd_001334,13,14,3JHH,9.00977
28243,dsgdb9nsd_001334,14,0,3JHC,0.223671
28244,dsgdb9nsd_001334,14,1,2JHC,0.745004
28245,dsgdb9nsd_001334,14,2,3JHC,4.71287
28246,dsgdb9nsd_001334,14,3,2JHN,0.153257
28247,dsgdb9nsd_001334,14,4,1JHC,102.709
28248,dsgdb9nsd_001334,14,5,2JHC,2.72048
28249,dsgdb9nsd_001334,14,15,3JHH,8.541730000000001
28250,dsgdb9nsd_001334,14,16,3JHH,3.63812
28251,dsgdb9nsd_001334,15,1,3JHC,1.5383799999999999
28252,dsgdb9nsd_001334,15,3,3JHN,0.30992800000000004
28253,dsgdb9nsd_001334,15,4,2JHC,-1.10819
28254,dsgdb9nsd_001334,15,5,1JHC,90.3087
28255,dsgdb9nsd_001334,15,16,2JHH,-10.1398
28256,dsgdb9nsd_001334,15,17,3JHH,0.8619459999999999
28257,dsgdb9nsd_001334,16,1,3JHC,0.026258999999999998
28258,dsgdb9nsd_001334,16,3,3JHN,2.24903
28259,dsgdb9nsd_001334,16,4,2JHC,2.12862
28260,dsgdb9nsd_001334,16,5,1JHC,86.1464
28261,dsgdb9nsd_001334,16,17,3JHH,13.0933
28262,dsgdb9nsd_001334,17,4,3JHC,2.24294
28263,dsgdb9nsd_001334,17,5,2JHC,-1.58174
29052,dsgdb9nsd_001358,7,0,1JHC,84.7011
29053,dsgdb9nsd_001358,7,1,2JHC,-1.23319
29054,dsgdb9nsd_001358,7,3,3JHC,0.731657
29055,dsgdb9nsd_001358,7,5,3JHC,0.476238
29056,dsgdb9nsd_001358,7,8,2JHH,-12.7121
29057,dsgdb9nsd_001358,7,9,2JHH,-11.7026
29058,dsgdb9nsd_001358,8,0,1JHC,80.5516
29059,dsgdb9nsd_001358,8,1,2JHC,-4.45947
29060,dsgdb9nsd_001358,8,3,3JHC,1.15438
29061,dsgdb9nsd_001358,8,5,3JHC,5.7542800000000005
29062,dsgdb9nsd_001358,8,9,2JHH,-10.6087
29063,dsgdb9nsd_001358,9,0,1JHC,84.4995
29064,dsgdb9nsd_001358,9,1,2JHC,-4.641030000000001
29065,dsgdb9nsd_001358,9,3,3JHC,6.01164
29066,dsgdb9nsd_001358,9,5,3JHC,1.5926200000000001
29067,dsgdb9nsd_001358,10,0,3JHC,-0.37669
29068,dsgdb9nsd_001358,10,1,2JHC,-1.4655200000000002
29069,dsgdb9nsd_001358,10,3,3JHC,1.17852
29070,dsgdb9nsd_001358,10,5,3JHC,9.77159
29071,dsgdb9nsd_001358,11,0,3JHC,-0.33056399999999997
29072,dsgdb9nsd_001358,11,1,2JHC,0.643043
29073,dsgdb9nsd_001358,11,3,1JHC,121.426
29074,dsgdb9nsd_001358,11,5,2JHC,1.53035
29075,dsgdb9nsd_001358,11,12,3JHH,7.99746
29076,dsgdb9nsd_001358,11,13,3JHH,4.75964
29077,dsgdb9nsd_001358,12,1,3JHC,-0.397896
29078,dsgdb9nsd_001358,12,3,2JHC,-1.82155
29079,dsgdb9nsd_001358,12,5,3JHC,5.67626
29080,dsgdb9nsd_001358,13,0,3JHC,-0.324333
29081,dsgdb9nsd_001358,13,1,2JHC,-1.9857599999999997
29082,dsgdb9nsd_001358,13,3,2JHC,3.41071
29083,dsgdb9nsd_001358,13,5,1JHC,120.95200000000001
29084,dsgdb9nsd_001358,13,14,3JHH,2.54652
29085,dsgdb9nsd_001358,14,1,3JHC,6.87285
29086,dsgdb9nsd_001358,14,3,3JHC,-0.316818
29087,dsgdb9nsd_001358,14,5,2JHC,-1.25549
30539,dsgdb9nsd_001445,7,0,1JHC,88.8897
30540,dsgdb9nsd_001445,7,1,2JHC,-2.94532
30541,dsgdb9nsd_001445,7,2,3JHC,1.86555
30542,dsgdb9nsd_001445,7,8,2JHH,-12.4869
30543,dsgdb9nsd_001445,7,9,2JHH,-11.1016
30544,dsgdb9nsd_001445,7,10,3JHH,3.44463
30545,dsgdb9nsd_001445,7,11,3JHH,12.1341
30546,dsgdb9nsd_001445,8,0,1JHC,88.8788
30547,dsgdb9nsd_001445,8,1,2JHC,-2.9447799999999997
30548,dsgdb9nsd_001445,8,2,3JHC,1.85287
30549,dsgdb9nsd_001445,8,9,2JHH,-11.1016
30550,dsgdb9nsd_001445,8,10,3JHH,12.1303
30551,dsgdb9nsd_001445,8,11,3JHH,3.46173
30552,dsgdb9nsd_001445,9,0,1JHC,79.0676
30553,dsgdb9nsd_001445,9,1,2JHC,-0.928582
30554,dsgdb9nsd_001445,9,2,3JHC,9.609539999999999
30555,dsgdb9nsd_001445,9,10,3JHH,3.0396099999999997
30556,dsgdb9nsd_001445,9,11,3JHH,3.0265400000000002
30557,dsgdb9nsd_001445,10,0,2JHC,-1.93518
30558,dsgdb9nsd_001445,10,1,1JHC,81.3765
30559,dsgdb9nsd_001445,10,2,2JHC,-4.05334
30560,dsgdb9nsd_001445,10,4,3JHN,-0.054583000000000007
30561,dsgdb9nsd_001445,10,11,2JHH,-16.0376
30562,dsgdb9nsd_001445,11,0,2JHC,-1.9378400000000002
30563,dsgdb9nsd_001445,11,1,1JHC,81.3768
30564,dsgdb9nsd_001445,11,2,2JHC,-4.06114
30565,dsgdb9nsd_001445,11,4,3JHN,-0.054384
30566,dsgdb9nsd_001445,12,1,3JHC,1.2057200000000001
30567,dsgdb9nsd_001445,12,2,2JHC,7.324839999999999
30568,dsgdb9nsd_001445,12,4,1JHN,56.3301
30569,dsgdb9nsd_001445,12,5,2JHC,0.325207
30570,dsgdb9nsd_001445,12,6,3JHN,-0.390866
30571,dsgdb9nsd_001445,12,13,3JHH,8.80155
30572,dsgdb9nsd_001445,13,2,3JHC,1.44557
30573,dsgdb9nsd_001445,13,4,2JHN,6.671589999999999
30574,dsgdb9nsd_001445,13,5,1JHC,124.425
30575,dsgdb9nsd_001445,13,6,2JHN,-2.22289
30576,dsgdb9nsd_001445,13,14,3JHH,11.177999999999999
30577,dsgdb9nsd_001445,14,4,3JHN,7.005539999999999
30578,dsgdb9nsd_001445,14,5,2JHC,-4.12999
30579,dsgdb9nsd_001445,14,6,1JHN,33.2879
39542,dsgdb9nsd_001773,7,0,1JHN,39.2246
39543,dsgdb9nsd_001773,7,1,2JHC,-1.48684
39544,dsgdb9nsd_001773,7,2,3JHC,8.3952
39545,dsgdb9nsd_001773,7,3,3JHC,0.006456999999999999
39546,dsgdb9nsd_001773,7,8,2JHH,-10.2083
39547,dsgdb9nsd_001773,7,9,3JHH,2.71335
39548,dsgdb9nsd_001773,8,0,1JHN,40.8763
39549,dsgdb9nsd_001773,8,1,2JHC,-2.82933
39550,dsgdb9nsd_001773,8,2,3JHC,1.1682
39551,dsgdb9nsd_001773,8,3,3JHC,2.5443599999999997
39552,dsgdb9nsd_001773,8,9,3JHH,12.6358
39553,dsgdb9nsd_001773,9,0,2JHN,3.78926
39554,dsgdb9nsd_001773,9,1,1JHC,117.229
39555,dsgdb9nsd_001773,9,2,2JHC,-1.1359
39556,dsgdb9nsd_001773,9,3,2JHC,3.0968
39557,dsgdb9nsd_001773,9,5,3JHC,3.7461699999999998
39558,dsgdb9nsd_001773,9,10,3JHH,8.0968
39559,dsgdb9nsd_001773,9,11,3JHH,4.6893
39560,dsgdb9nsd_001773,10,0,3JHN,1.80139
39561,dsgdb9nsd_001773,10,1,2JHC,0.316709
39562,dsgdb9nsd_001773,10,2,1JHC,106.525
39563,dsgdb9nsd_001773,10,3,2JHC,-0.6234460000000001
39564,dsgdb9nsd_001773,10,5,3JHC,3.6898199999999997
39565,dsgdb9nsd_001773,10,11,2JHH,-5.17408
39566,dsgdb9nsd_001773,11,0,3JHN,1.28965
39567,dsgdb9nsd_001773,11,1,2JHC,-2.38587
39568,dsgdb9nsd_001773,11,2,1JHC,109.77799999999999
39569,dsgdb9nsd_001773,11,3,2JHC,-2.25857
39570,dsgdb9nsd_001773,11,5,3JHC,1.2813299999999999
39571,dsgdb9nsd_001773,12,1,3JHC,4.9121
39572,dsgdb9nsd_001773,12,2,3JHC,0.48759600000000003
39573,dsgdb9nsd_001773,12,3,2JHC,-2.27011
39574,dsgdb9nsd_001773,12,5,3JHC,-0.35891100000000004
40021,dsgdb9nsd_001788,7,0,1JHC,83.9814
40022,dsgdb9nsd_001788,7,1,2JHC,-1.7759099999999999
40023,dsgdb9nsd_001788,7,2,3JHC,2.52052
40024,dsgdb9nsd_001788,7,8,2JHH,-11.277999999999999
40025,dsgdb9nsd_001788,7,9,2JHH,-11.4835
40026,dsgdb9nsd_001788,7,10,3JHH,3.1343799999999997
40027,dsgdb9nsd_001788,7,11,3JHH,12.1406
40028,dsgdb9nsd_001788,8,0,1JHC,83.4739
40029,dsgdb9nsd_001788,8,1,2JHC,-2.1074200000000003
40030,dsgdb9nsd_001788,8,2,3JHC,1.3109899999999999
40031,dsgdb9nsd_001788,8,9,2JHH,-11.639000000000001
40032,dsgdb9nsd_001788,8,10,3JHH,12.5032
40033,dsgdb9nsd_001788,8,11,3JHH,3.8213199999999996
40034,dsgdb9nsd_001788,9,0,1JHC,82.7165
40035,dsgdb9nsd_001788,9,1,2JHC,-1.23386
40036,dsgdb9nsd_001788,9,2,3JHC,9.46447
40037,dsgdb9nsd_001788,9,10,3JHH,3.74759
40038,dsgdb9nsd_001788,9,11,3JHH,2.52545
40039,dsgdb9nsd_001788,10,0,2JHC,-2.5251
40040,dsgdb9nsd_001788,10,1,1JHC,81.9766
40041,dsgdb9nsd_001788,10,2,2JHC,-3.62972
40042,dsgdb9nsd_001788,10,3,3JHC,6.054180000000001
40043,dsgdb9nsd_001788,10,4,3JHC,1.47645
40044,dsgdb9nsd_001788,10,5,3JHC,2.2821
40045,dsgdb9nsd_001788,10,11,2JHH,-12.3199
40046,dsgdb9nsd_001788,11,0,2JHC,-1.57497
40047,dsgdb9nsd_001788,11,1,1JHC,79.7032
40048,dsgdb9nsd_001788,11,2,2JHC,-1.7854900000000002
40049,dsgdb9nsd_001788,11,3,3JHC,2.35351
40050,dsgdb9nsd_001788,11,4,3JHC,6.31566
40051,dsgdb9nsd_001788,11,5,3JHC,0.099
40052,dsgdb9nsd_001788,12,1,3JHC,0.990917
40053,dsgdb9nsd_001788,12,2,2JHC,-2.23896
40054,dsgdb9nsd_001788,12,3,1JHC,82.3271
40055,dsgdb9nsd_001788,12,4,3JHC,1.20594
40056,dsgdb9nsd_001788,12,5,3JHC,8.25153
40057,dsgdb9nsd_001788,12,13,2JHH,-11.8365
40058,dsgdb9nsd_001788,12,14,2JHH,-11.2551
40059,dsgdb9nsd_001788,13,1,3JHC,6.7161100000000005
40060,dsgdb9nsd_001788,13,2,2JHC,-3.39097
40061,dsgdb9nsd_001788,13,3,1JHC,84.9786
40062,dsgdb9nsd_001788,13,4,3JHC,1.869
40063,dsgdb9nsd_001788,13,5,3JHC,3.253
40064,dsgdb9nsd_001788,13,14,2JHH,-11.7711
40065,dsgdb9nsd_001788,14,1,3JHC,1.9782
40066,dsgdb9nsd_001788,14,2,2JHC,-1.53969
40067,dsgdb9nsd_001788,14,3,1JHC,81.7488
40068,dsgdb9nsd_001788,14,4,3JHC,7.868360000000001
40069,dsgdb9nsd_001788,14,5,3JHC,0.45688100000000004
40070,dsgdb9nsd_001788,15,1,3JHC,2.0547400000000002
40071,dsgdb9nsd_001788,15,2,2JHC,-0.457241
40072,dsgdb9nsd_001788,15,3,3JHC,5.53289
40073,dsgdb9nsd_001788,15,4,1JHC,102.262
40074,dsgdb9nsd_001788,15,5,2JHC,-0.336046
40075,dsgdb9nsd_001788,15,6,3JHC,2.59915
40076,dsgdb9nsd_001788,15,16,2JHH,-3.1834
40077,dsgdb9nsd_001788,15,17,3JHH,7.02296
40078,dsgdb9nsd_001788,16,1,3JHC,5.351369999999999
40079,dsgdb9nsd_001788,16,2,2JHC,0.19100999999999999
40080,dsgdb9nsd_001788,16,3,3JHC,2.5382599999999997
40081,dsgdb9nsd_001788,16,4,1JHC,104.193
40082,dsgdb9nsd_001788,16,5,2JHC,-0.899051
40083,dsgdb9nsd_001788,16,6,3JHC,6.26236
40084,dsgdb9nsd_001788,16,17,3JHH,3.79275
40085,dsgdb9nsd_001788,17,1,3JHC,1.3173700000000002
40086,dsgdb9nsd_001788,17,2,2JHC,0.030474
40087,dsgdb9nsd_001788,17,3,3JHC,6.89045
40088,dsgdb9nsd_001788,17,4,2JHC,-0.887122
40089,dsgdb9nsd_001788,17,5,1JHC,100.43700000000001
40090,dsgdb9nsd_001788,17,6,2JHC,2.3313099999999998
40091,dsgdb9nsd_001788,17,18,3JHH,11.0444
40092,dsgdb9nsd_001788,17,19,3JHH,2.00414
40093,dsgdb9nsd_001788,17,20,3JHH,3.4004
40094,dsgdb9nsd_001788,18,2,3JHC,0.986251
40095,dsgdb9nsd_001788,18,4,3JHC,2.70434
40096,dsgdb9nsd_001788,18,5,2JHC,-3.78651
40097,dsgdb9nsd_001788,18,6,1JHC,84.3812
40098,dsgdb9nsd_001788,18,19,2JHH,-11.6674
40099,dsgdb9nsd_001788,18,20,2JHH,-12.3534
40100,dsgdb9nsd_001788,19,2,3JHC,0.821068
40101,dsgdb9nsd_001788,19,4,3JHC,8.36099
40102,dsgdb9nsd_001788,19,5,2JHC,-1.60639
40103,dsgdb9nsd_001788,19,6,1JHC,81.8691
40104,dsgdb9nsd_001788,19,20,2JHH,-11.7766
40105,dsgdb9nsd_001788,20,2,3JHC,7.109889999999999
40106,dsgdb9nsd_001788,20,4,3JHC,0.5608770000000001
40107,dsgdb9nsd_001788,20,5,2JHC,-2.4204
40108,dsgdb9nsd_001788,20,6,1JHC,82.3546
42340,dsgdb9nsd_001866,7,0,1JHC,84.69200000000001
42341,dsgdb9nsd_001866,7,1,2JHC,-1.80971
42342,dsgdb9nsd_001866,7,2,3JHC,2.41162
42343,dsgdb9nsd_001866,7,6,3JHC,2.7391099999999997
42344,dsgdb9nsd_001866,7,8,2JHH,-11.4343
42345,dsgdb9nsd_001866,7,9,2JHH,-11.4166
42346,dsgdb9nsd_001866,7,10,3JHH,10.712
42347,dsgdb9nsd_001866,8,0,1JHC,82.1633
42348,dsgdb9nsd_001866,8,1,2JHC,-1.80283
42349,dsgdb9nsd_001866,8,2,3JHC,1.87678
42350,dsgdb9nsd_001866,8,6,3JHC,8.70651
42351,dsgdb9nsd_001866,8,9,2JHH,-11.7615
42352,dsgdb9nsd_001866,8,10,3JHH,2.9102
42353,dsgdb9nsd_001866,9,0,1JHC,82.1603
42354,dsgdb9nsd_001866,9,1,2JHC,-1.8848099999999999
42355,dsgdb9nsd_001866,9,2,3JHC,9.48445
42356,dsgdb9nsd_001866,9,6,3JHC,1.10735
42357,dsgdb9nsd_001866,9,10,3JHH,3.22327
42358,dsgdb9nsd_001866,10,0,2JHC,-0.662622
42359,dsgdb9nsd_001866,10,1,1JHC,76.3832
42360,dsgdb9nsd_001866,10,2,2JHC,-1.11169
42361,dsgdb9nsd_001866,10,3,3JHC,0.9241370000000001
42362,dsgdb9nsd_001866,10,4,3JHC,0.024717
42363,dsgdb9nsd_001866,10,6,2JHC,-0.737577
42364,dsgdb9nsd_001866,10,11,3JHH,5.217169999999999
42365,dsgdb9nsd_001866,10,12,3JHH,9.80643
42366,dsgdb9nsd_001866,10,15,3JHH,10.4413
42367,dsgdb9nsd_001866,10,16,3JHH,6.19365
42368,dsgdb9nsd_001866,11,0,3JHC,0.180622
42369,dsgdb9nsd_001866,11,1,2JHC,-0.58507
42370,dsgdb9nsd_001866,11,2,1JHC,80.9221
42371,dsgdb9nsd_001866,11,3,2JHC,-0.7781239999999999
42372,dsgdb9nsd_001866,11,4,3JHC,8.18522
42373,dsgdb9nsd_001866,11,6,3JHC,3.58669
42374,dsgdb9nsd_001866,11,12,2JHH,-10.9851
42375,dsgdb9nsd_001866,11,13,3JHH,7.52915
42376,dsgdb9nsd_001866,11,14,3JHH,0.20149
42377,dsgdb9nsd_001866,12,0,3JHC,4.48516
42378,dsgdb9nsd_001866,12,1,2JHC,-1.47301
42379,dsgdb9nsd_001866,12,2,1JHC,82.9188
42380,dsgdb9nsd_001866,12,3,2JHC,-1.40252
42381,dsgdb9nsd_001866,12,4,3JHC,-0.101258
42382,dsgdb9nsd_001866,12,6,3JHC,1.10344
42383,dsgdb9nsd_001866,12,13,3JHH,10.8271
42384,dsgdb9nsd_001866,12,14,3JHH,6.94725
42385,dsgdb9nsd_001866,13,1,3JHC,0.281188
42386,dsgdb9nsd_001866,13,2,2JHC,-1.6129200000000001
42387,dsgdb9nsd_001866,13,3,1JHC,84.4409
42388,dsgdb9nsd_001866,13,4,2JHC,-4.6622
42389,dsgdb9nsd_001866,13,6,3JHC,-0.532526
42390,dsgdb9nsd_001866,13,14,2JHH,-16.6038
42391,dsgdb9nsd_001866,14,1,3JHC,7.301880000000001
42392,dsgdb9nsd_001866,14,2,2JHC,0.35312
42393,dsgdb9nsd_001866,14,3,1JHC,85.975
42394,dsgdb9nsd_001866,14,4,2JHC,-3.2699599999999998
42395,dsgdb9nsd_001866,14,6,3JHC,1.82733
42396,dsgdb9nsd_001866,15,0,3JHC,5.98471
42397,dsgdb9nsd_001866,15,1,2JHC,-1.62696
42398,dsgdb9nsd_001866,15,2,3JHC,0.661272
42399,dsgdb9nsd_001866,15,3,3JHC,-0.68655
42400,dsgdb9nsd_001866,15,4,2JHC,-4.60569
42401,dsgdb9nsd_001866,15,6,1JHC,83.7861
42402,dsgdb9nsd_001866,15,16,2JHH,-16.0726
42403,dsgdb9nsd_001866,16,0,3JHC,0.018282
42404,dsgdb9nsd_001866,16,1,2JHC,1.03349
42405,dsgdb9nsd_001866,16,2,3JHC,7.42615
42406,dsgdb9nsd_001866,16,3,3JHC,2.52351
42407,dsgdb9nsd_001866,16,4,2JHC,-2.95618
42408,dsgdb9nsd_001866,16,6,1JHC,85.5759
49180,dsgdb9nsd_002059,7,1,2JHC,0.880893
49181,dsgdb9nsd_002059,7,2,1JHN,57.746
49182,dsgdb9nsd_002059,7,3,2JHC,5.019769999999999
49183,dsgdb9nsd_002059,7,4,3JHC,5.1401699999999995
49184,dsgdb9nsd_002059,7,6,3JHN,1.2327
49185,dsgdb9nsd_002059,7,8,3JHH,1.19021
49186,dsgdb9nsd_002059,7,9,3JHH,0.407777
49187,dsgdb9nsd_002059,8,1,3JHC,4.76384
49188,dsgdb9nsd_002059,8,2,2JHN,0.890841
49189,dsgdb9nsd_002059,8,3,1JHC,90.4311
49190,dsgdb9nsd_002059,8,4,2JHC,-5.76387
49191,dsgdb9nsd_002059,8,5,3JHC,5.74343
49192,dsgdb9nsd_002059,8,9,2JHH,-12.6835
49193,dsgdb9nsd_002059,8,10,3JHH,3.84155
49194,dsgdb9nsd_002059,9,1,3JHC,0.05726799999999999
49195,dsgdb9nsd_002059,9,2,2JHN,0.386815
49196,dsgdb9nsd_002059,9,3,1JHC,88.8127
49197,dsgdb9nsd_002059,9,4,2JHC,-4.898540000000001
49198,dsgdb9nsd_002059,9,5,3JHC,4.31337
49199,dsgdb9nsd_002059,9,10,3JHH,2.21614
49200,dsgdb9nsd_002059,10,2,3JHN,2.78254
49201,dsgdb9nsd_002059,10,3,2JHC,8.43097
49202,dsgdb9nsd_002059,10,4,1JHC,126.811
49203,dsgdb9nsd_002059,10,5,2JHC,3.3310400000000002
49204,dsgdb9nsd_002059,10,6,3JHN,3.0890299999999997
49205,dsgdb9nsd_002059,10,11,3JHH,5.2384900000000005
49206,dsgdb9nsd_002059,11,1,3JHC,5.65894
49207,dsgdb9nsd_002059,11,3,3JHC,7.6724
